estado,estado_codigo,termo,interesse,ano,grupo
São Paulo,BR-SP,inteligencia artificial,36,2022,carreiras
Tocantins,BR-TO,inteligencia artificial,55,2022,carreiras
Acre,BR-AC,Python,16,2023,linguagens
Alagoas,BR-AL,Python,20,2023,linguagens
Amapá,BR-AP,Python,12,2023,linguagens
Amazonas,BR-AM,Python,22,2023,linguagens
Bahia,BR-BA,Python,15,2023,linguagens
Ceará,BR-CE,Python,21,2023,linguagens
Distrito Federal,BR-DF,Python,29,2023,linguagens
Espírito Santo,BR-ES,Python,20,2023,linguagens
Goiás,BR-GO,Python,17,2023,linguagens
Maranhão,BR-MA,Python,14,2023,linguagens
Mato Grosso,BR-MT,Python,13,2023,linguagens
Mato Grosso do Sul,BR-MS,Python,17,2023,linguagens
Minas Gerais,BR-MG,Python,18,2023,linguagens
Paraná,BR-PR,Python,19,2023,linguagens
Paraíba,BR-PB,Python,25,2023,linguagens
Pará,BR-PA,Python,15,2023,linguagens
Pernambuco,BR-PE,Python,25,2023,linguagens
Piauí,BR-PI,Python,19,2023,linguagens
Rio Grande do Norte,BR-RN,Python,24,2023,linguagens
Rio Grande do Sul,BR-RS,Python,19,2023,linguagens
Rio de Janeiro,BR-RJ,Python,22,2023,linguagens
Rondônia,BR-RO,Python,13,2023,linguagens
Roraima,BR-RR,Python,14,2023,linguagens
Santa Catarina,BR-SC,Python,22,2023,linguagens
Sergipe,BR-SE,Python,20,2023,linguagens
São Paulo,BR-SP,Python,21,2023,linguagens
Tocantins,BR-TO,Python,16,2023,linguagens
Acre,BR-AC,SQL,5,2023,linguagens
Alagoas,BR-AL,SQL,7,2023,linguagens
Amapá,BR-AP,SQL,4,2023,linguagens
Amazonas,BR-AM,SQL,5,2023,linguagens
Bahia,BR-BA,SQL,6,2023,linguagens
Ceará,BR-CE,SQL,9,2023,linguagens
Distrito Federal,BR-DF,SQL,16,2023,linguagens
Espírito Santo,BR-ES,SQL,10,2023,linguagens
Goiás,BR-GO,SQL,9,2023,linguagens
Maranhão,BR-MA,SQL,4,2023,linguagens
Mato Grosso,BR-MT,SQL,7,2023,linguagens
Mato Grosso do Sul,BR-MS,SQL,6,2023,linguagens
Minas Gerais,BR-MG,SQL,10,2023,linguagens
Paraná,BR-PR,SQL,10,2023,linguagens
Paraíba,BR-PB,SQL,7,2023,linguagens
Pará,BR-PA,SQL,4,2023,linguagens
Pernambuco,BR-PE,SQL,8,2023,linguagens
Piauí,BR-PI,SQL,4,2023,linguagens
Rio Grande do Norte,BR-RN,SQL,6,2023,linguagens
Rio Grande do Sul,BR-RS,SQL,9,2023,linguagens
Rio de Janeiro,BR-RJ,SQL,9,2023,linguagens
Rondônia,BR-RO,SQL,7,2023,linguagens
Roraima,BR-RR,SQL,4,2023,linguagens
Santa Catarina,BR-SC,SQL,12,2023,linguagens
Sergipe,BR-SE,SQL,9,2023,linguagens
São Paulo,BR-SP,SQL,14,2023,linguagens
Tocantins,BR-TO,SQL,8,2023,linguagens
Acre,BR-AC,R,56,2023,linguagens
Alagoas,BR-AL,R,52,2023,linguagens
Amapá,BR-AP,R,61,2023,linguagens
Amazonas,BR-AM,R,47,2023,linguagens
Bahia,BR-BA,R,58,2023,linguagens
Ceará,BR-CE,R,52,2023,linguagens
Distrito Federal,BR-DF,R,39,2023,linguagens
Espírito Santo,BR-ES,R,49,2023,linguagens
Goiás,BR-GO,R,53,2023,linguagens
Maranhão,BR-MA,R,60,2023,linguagens
Mato Grosso,BR-MT,R,57,2023,linguagens
Mato Grosso do Sul,BR-MS,R,58,2023,linguagens
Minas Gerais,BR-MG,R,52,2023,linguagens
Paraná,BR-PR,R,53,2023,linguagens
Paraíba,BR-PB,R,49,2023,linguagens
Pará,BR-PA,R,58,2023,linguagens
Pernambuco,BR-PE,R,49,2023,linguagens
Piauí,BR-PI,R,61,2023,linguagens
Rio Grande do Norte,BR-RN,R,52,2023,linguagens
Rio Grande do Sul,BR-RS,R,52,2023,linguagens
Rio de Janeiro,BR-RJ,R,50,2023,linguagens
Rondônia,BR-RO,R,62,2023,linguagens
Roraima,BR-RR,R,61,2023,linguagens
Santa Catarina,BR-SC,R,47,2023,linguagens
Sergipe,BR-SE,R,54,2023,linguagens
São Paulo,BR-SP,R,48,2023,linguagens
Tocantins,BR-TO,R,57,2023,linguagens
Acre,BR-AC,Scala,1,2023,linguagens
Alagoas,BR-AL,Scala,1,2023,linguagens
Amapá,BR-AP,Scala,0,2023,linguagens
Amazonas,BR-AM,Scala,0,2023,linguagens
Bahia,BR-BA,Scala,1,2023,linguagens
Ceará,BR-CE,Scala,0,2023,linguagens
Distrito Federal,BR-DF,Scala,1,2023,linguagens
Espírito Santo,BR-ES,Scala,0,2023,linguagens
Goiás,BR-GO,Scala,1,2023,linguagens
Maranhão,BR-MA,Scala,0,2023,linguagens
Mato Grosso,BR-MT,Scala,1,2023,linguagens
Mato Grosso do Sul,BR-MS,Scala,1,2023,linguagens
Minas Gerais,BR-MG,Scala,1,2023,linguagens
Paraná,BR-PR,Scala,0,2023,linguagens
Paraíba,BR-PB,Scala,0,2023,linguagens
Pará,BR-PA,Scala,0,2023,linguagens
Pernambuco,BR-PE,Scala,0,2023,linguagens
Piauí,BR-PI,Scala,0,2023,linguagens
Rio Grande do Norte,BR-RN,Scala,0,2023,linguagens
Rio Grande do Sul,BR-RS,Scala,1,2023,linguagens
Rio de Janeiro,BR-RJ,Scala,0,2023,linguagens
Rondônia,BR-RO,Scala,0,2023,linguagens
Roraima,BR-RR,Scala,0,2023,linguagens
Santa Catarina,BR-SC,Scala,0,2023,linguagens
Sergipe,BR-SE,Scala,0,2023,linguagens
São Paulo,BR-SP,Scala,1,2023,linguagens
Tocantins,BR-TO,Scala,0,2023,linguagens
Acre,BR-AC,Julia,22,2023,linguagens
Alagoas,BR-AL,Julia,20,2023,linguagens
Amapá,BR-AP,Julia,23,2023,linguagens
Amazonas,BR-AM,Julia,26,2023,linguagens
Bahia,BR-BA,Julia,20,2023,linguagens
Ceará,BR-CE,Julia,18,2023,linguagens
Distrito Federal,BR-DF,Julia,15,2023,linguagens
Espírito Santo,BR-ES,Julia,21,2023,linguagens
Goiás,BR-GO,Julia,20,2023,linguagens
Maranhão,BR-MA,Julia,22,2023,linguagens
Mato Grosso,BR-MT,Julia,22,2023,linguagens
Mato Grosso do Sul,BR-MS,Julia,18,2023,linguagens
Minas Gerais,BR-MG,Julia,19,2023,linguagens
Paraná,BR-PR,Julia,18,2023,linguagens
Paraíba,BR-PB,Julia,19,2023,linguagens
Pará,BR-PA,Julia,23,2023,linguagens
Pernambuco,BR-PE,Julia,18,2023,linguagens
Piauí,BR-PI,Julia,16,2023,linguagens
Rio Grande do Norte,BR-RN,Julia,18,2023,linguagens
Rio Grande do Sul,BR-RS,Julia,19,2023,linguagens
Rio de Janeiro,BR-RJ,Julia,19,2023,linguagens
Rondônia,BR-RO,Julia,18,2023,linguagens
Roraima,BR-RR,Julia,21,2023,linguagens
Santa Catarina,BR-SC,Julia,19,2023,linguagens
Sergipe,BR-SE,Julia,17,2023,linguagens
São Paulo,BR-SP,Julia,16,2023,linguagens
Tocantins,BR-TO,Julia,19,2023,linguagens
Acre,BR-AC,Power BI,89,2023,ferramentas
Alagoas,BR-AL,Power BI,89,2023,ferramentas
Amapá,BR-AP,Power BI,58,2023,ferramentas
Amazonas,BR-AM,Power BI,90,2023,ferramentas
Bahia,BR-BA,Power BI,88,2023,ferramentas
Ceará,BR-CE,Power BI,89,2023,ferramentas
Distrito Federal,BR-DF,Power BI,89,2023,ferramentas
Espírito Santo,BR-ES,Power BI,87,2023,ferramentas
Goiás,BR-GO,Power BI,91,2023,ferramentas
Maranhão,BR-MA,Power BI,91,2023,ferramentas
Mato Grosso,BR-MT,Power BI,94,2023,ferramentas
Mato Grosso do Sul,BR-MS,Power BI,90,2023,ferramentas
Minas Gerais,BR-MG,Power BI,88,2023,ferramentas
Paraná,BR-PR,Power BI,88,2023,ferramentas
Paraíba,BR-PB,Power BI,85,2023,ferramentas
Pará,BR-PA,Power BI,94,2023,ferramentas
Pernambuco,BR-PE,Power BI,87,2023,ferramentas
Piauí,BR-PI,Power BI,91,2023,ferramentas
Rio Grande do Norte,BR-RN,Power BI,87,2023,ferramentas
Rio Grande do Sul,BR-RS,Power BI,81,2023,ferramentas
Rio de Janeiro,BR-RJ,Power BI,89,2023,ferramentas
Rondônia,BR-RO,Power BI,96,2023,ferramentas
Roraima,BR-RR,Power BI,100,2023,ferramentas
Santa Catarina,BR-SC,Power BI,83,2023,ferramentas
Sergipe,BR-SE,Power BI,89,2023,ferramentas
São Paulo,BR-SP,Power BI,80,2023,ferramentas
Tocantins,BR-TO,Power BI,97,2023,ferramentas
Acre,BR-AC,Tableau,11,2023,ferramentas
Alagoas,BR-AL,Tableau,3,2023,ferramentas
Amapá,BR-AP,Tableau,42,2023,ferramentas
Amazonas,BR-AM,Tableau,6,2023,ferramentas
Bahia,BR-BA,Tableau,4,2023,ferramentas
Ceará,BR-CE,Tableau,5,2023,ferramentas
Distrito Federal,BR-DF,Tableau,4,2023,ferramentas
Espírito Santo,BR-ES,Tableau,6,2023,ferramentas
Goiás,BR-GO,Tableau,4,2023,ferramentas
Maranhão,BR-MA,Tableau,3,2023,ferramentas
Mato Grosso,BR-MT,Tableau,3,2023,ferramentas
Mato Grosso do Sul,BR-MS,Tableau,5,2023,ferramentas
Minas Gerais,BR-MG,Tableau,5,2023,ferramentas
Paraná,BR-PR,Tableau,5,2023,ferramentas
Paraíba,BR-PB,Tableau,4,2023,ferramentas
Pará,BR-PA,Tableau,3,2023,ferramentas
Pernambuco,BR-PE,Tableau,4,2023,ferramentas
Piauí,BR-PI,Tableau,4,2023,ferramentas
Rio Grande do Norte,BR-RN,Tableau,5,2023,ferramentas
Rio Grande do Sul,BR-RS,Tableau,6,2023,ferramentas
Rio de Janeiro,BR-RJ,Tableau,5,2023,ferramentas
Rondônia,BR-RO,Tableau,0,2023,ferramentas
Roraima,BR-RR,Tableau,0,2023,ferramentas
Santa Catarina,BR-SC,Tableau,5,2023,ferramentas
Sergipe,BR-SE,Tableau,3,2023,ferramentas
São Paulo,BR-SP,Tableau,11,2023,ferramentas
Tocantins,BR-TO,Tableau,3,2023,ferramentas
Acre,BR-AC,Apache Spark,0,2023,ferramentas
Alagoas,BR-AL,Apache Spark,0,2023,ferramentas
Amapá,BR-AP,Apache Spark,0,2023,ferramentas
Amazonas,BR-AM,Apache Spark,0,2023,ferramentas
Bahia,BR-BA,Apache Spark,0,2023,ferramentas
Ceará,BR-CE,Apache Spark,0,2023,ferramentas
Distrito Federal,BR-DF,Apache Spark,0,2023,ferramentas
Espírito Santo,BR-ES,Apache Spark,0,2023,ferramentas
Goiás,BR-GO,Apache Spark,0,2023,ferramentas
Maranhão,BR-MA,Apache Spark,0,2023,ferramentas
Mato Grosso,BR-MT,Apache Spark,0,2023,ferramentas
Mato Grosso do Sul,BR-MS,Apache Spark,0,2023,ferramentas
Minas Gerais,BR-MG,Apache Spark,0,2023,ferramentas
Paraná,BR-PR,Apache Spark,0,2023,ferramentas
Paraíba,BR-PB,Apache Spark,0,2023,ferramentas
Pará,BR-PA,Apache Spark,0,2023,ferramentas
Pernambuco,BR-PE,Apache Spark,0,2023,ferramentas
Piauí,BR-PI,Apache Spark,0,2023,ferramentas
Rio Grande do Norte,BR-RN,Apache Spark,0,2023,ferramentas
Rio Grande do Sul,BR-RS,Apache Spark,1,2023,ferramentas
Rio de Janeiro,BR-RJ,Apache Spark,0,2023,ferramentas
Rondônia,BR-RO,Apache Spark,0,2023,ferramentas
Roraima,BR-RR,Apache Spark,0,2023,ferramentas
Santa Catarina,BR-SC,Apache Spark,1,2023,ferramentas
Sergipe,BR-SE,Apache Spark,0,2023,ferramentas
São Paulo,BR-SP,Apache Spark,0,2023,ferramentas
Tocantins,BR-TO,Apache Spark,0,2023,ferramentas
Acre,BR-AC,dbt,0,2023,ferramentas
Alagoas,BR-AL,dbt,5,2023,ferramentas
Amapá,BR-AP,dbt,0,2023,ferramentas
Amazonas,BR-AM,dbt,2,2023,ferramentas
Bahia,BR-BA,dbt,5,2023,ferramentas
Ceará,BR-CE,dbt,3,2023,ferramentas
Distrito Federal,BR-DF,dbt,3,2023,ferramentas
Espírito Santo,BR-ES,dbt,2,2023,ferramentas
Goiás,BR-GO,dbt,2,2023,ferramentas
Maranhão,BR-MA,dbt,3,2023,ferramentas
Mato Grosso,BR-MT,dbt,3,2023,ferramentas
Mato Grosso do Sul,BR-MS,dbt,3,2023,ferramentas
Minas Gerais,BR-MG,dbt,3,2023,ferramentas
Paraná,BR-PR,dbt,3,2023,ferramentas
Paraíba,BR-PB,dbt,6,2023,ferramentas
Pará,BR-PA,dbt,2,2023,ferramentas
Pernambuco,BR-PE,dbt,4,2023,ferramentas
Piauí,BR-PI,dbt,4,2023,ferramentas
Rio Grande do Norte,BR-RN,dbt,6,2023,ferramentas
Rio Grande do Sul,BR-RS,dbt,5,2023,ferramentas
Rio de Janeiro,BR-RJ,dbt,2,2023,ferramentas
Rondônia,BR-RO,dbt,4,2023,ferramentas
Roraima,BR-RR,dbt,0,2023,ferramentas
Santa Catarina,BR-SC,dbt,5,2023,ferramentas
Sergipe,BR-SE,dbt,3,2023,ferramentas
São Paulo,BR-SP,dbt,2,2023,ferramentas
Tocantins,BR-TO,dbt,0,2023,ferramentas
Acre,BR-AC,Databricks,0,2023,ferramentas
Alagoas,BR-AL,Databricks,3,2023,ferramentas
Amapá,BR-AP,Databricks,0,2023,ferramentas
Amazonas,BR-AM,Databricks,2,2023,ferramentas
Bahia,BR-BA,Databricks,3,2023,ferramentas
Ceará,BR-CE,Databricks,3,2023,ferramentas
Distrito Federal,BR-DF,Databricks,4,2023,ferramentas
Espírito Santo,BR-ES,Databricks,5,2023,ferramentas
Goiás,BR-GO,Databricks,3,2023,ferramentas
Maranhão,BR-MA,Databricks,3,2023,ferramentas
Mato Grosso,BR-MT,Databricks,0,2023,ferramentas
Mato Grosso do Sul,BR-MS,Databricks,2,2023,ferramentas
Minas Gerais,BR-MG,Databricks,4,2023,ferramentas
Paraná,BR-PR,Databricks,4,2023,ferramentas
Paraíba,BR-PB,Databricks,5,2023,ferramentas
Pará,BR-PA,Databricks,1,2023,ferramentas
Pernambuco,BR-PE,Databricks,5,2023,ferramentas
Piauí,BR-PI,Databricks,1,2023,ferramentas
Rio Grande do Norte,BR-RN,Databricks,2,2023,ferramentas
Rio Grande do Sul,BR-RS,Databricks,7,2023,ferramentas
Rio de Janeiro,BR-RJ,Databricks,4,2023,ferramentas
Rondônia,BR-RO,Databricks,0,2023,ferramentas
Roraima,BR-RR,Databricks,0,2023,ferramentas
Santa Catarina,BR-SC,Databricks,6,2023,ferramentas
Sergipe,BR-SE,Databricks,5,2023,ferramentas
São Paulo,BR-SP,Databricks,7,2023,ferramentas
Tocantins,BR-TO,Databricks,0,2023,ferramentas
Acre,BR-AC,cientista de dados,4,2023,carreiras
Alagoas,BR-AL,cientista de dados,5,2023,carreiras
Amapá,BR-AP,cientista de dados,0,2023,carreiras
Amazonas,BR-AM,cientista de dados,4,2023,carreiras
Bahia,BR-BA,cientista de dados,4,2023,carreiras
Ceará,BR-CE,cientista de dados,4,2023,carreiras
Distrito Federal,BR-DF,cientista de dados,4,2023,carreiras
Espírito Santo,BR-ES,cientista de dados,5,2023,carreiras
Goiás,BR-GO,cientista de dados,4,2023,carreiras
Maranhão,BR-MA,cientista de dados,4,2023,carreiras
Mato Grosso,BR-MT,cientista de dados,4,2023,carreiras
Mato Grosso do Sul,BR-MS,cientista de dados,5,2023,carreiras
Minas Gerais,BR-MG,cientista de dados,4,2023,carreiras
Paraná,BR-PR,cientista de dados,3,2023,carreiras
Paraíba,BR-PB,cientista de dados,4,2023,carreiras
Pará,BR-PA,cientista de dados,4,2023,carreiras
Pernambuco,BR-PE,cientista de dados,4,2023,carreiras
Piauí,BR-PI,cientista de dados,3,2023,carreiras
Rio Grande do Norte,BR-RN,cientista de dados,4,2023,carreiras
Rio Grande do Sul,BR-RS,cientista de dados,3,2023,carreiras
Rio de Janeiro,BR-RJ,cientista de dados,5,2023,carreiras
Rondônia,BR-RO,cientista de dados,4,2023,carreiras
Roraima,BR-RR,cientista de dados,0,2023,carreiras
Santa Catarina,BR-SC,cientista de dados,3,2023,carreiras
Sergipe,BR-SE,cientista de dados,6,2023,carreiras
São Paulo,BR-SP,cientista de dados,4,2023,carreiras
Tocantins,BR-TO,cientista de dados,4,2023,carreiras
Acre,BR-AC,engenheiro de dados,0,2023,carreiras
Alagoas,BR-AL,engenheiro de dados,1,2023,carreiras
Amapá,BR-AP,engenheiro de dados,0,2023,carreiras
Amazonas,BR-AM,engenheiro de dados,2,2023,carreiras
Bahia,BR-BA,engenheiro de dados,1,2023,carreiras
Ceará,BR-CE,engenheiro de dados,1,2023,carreiras
Distrito Federal,BR-DF,engenheiro de dados,1,2023,carreiras
Espírito Santo,BR-ES,engenheiro de dados,1,2023,carreiras
Goiás,BR-GO,engenheiro de dados,1,2023,carreiras
Maranhão,BR-MA,engenheiro de dados,1,2023,carreiras
Mato Grosso,BR-MT,engenheiro de dados,1,2023,carreiras
Mato Grosso do Sul,BR-MS,engenheiro de dados,1,2023,carreiras
Minas Gerais,BR-MG,engenheiro de dados,2,2023,carreiras
Paraná,BR-PR,engenheiro de dados,2,2023,carreiras
Paraíba,BR-PB,engenheiro de dados,2,2023,carreiras
Pará,BR-PA,engenheiro de dados,2,2023,carreiras
Pernambuco,BR-PE,engenheiro de dados,2,2023,carreiras
Piauí,BR-PI,engenheiro de dados,1,2023,carreiras
Rio Grande do Norte,BR-RN,engenheiro de dados,1,2023,carreiras
Rio Grande do Sul,BR-RS,engenheiro de dados,1,2023,carreiras
Rio de Janeiro,BR-RJ,engenheiro de dados,2,2023,carreiras
Rondônia,BR-RO,engenheiro de dados,2,2023,carreiras
Roraima,BR-RR,engenheiro de dados,0,2023,carreiras
Santa Catarina,BR-SC,engenheiro de dados,1,2023,carreiras
Sergipe,BR-SE,engenheiro de dados,2,2023,carreiras
São Paulo,BR-SP,engenheiro de dados,2,2023,carreiras
Tocantins,BR-TO,engenheiro de dados,0,2023,carreiras
Acre,BR-AC,analista de dados,4,2023,carreiras
Alagoas,BR-AL,analista de dados,7,2023,carreiras
Amapá,BR-AP,analista de dados,6,2023,carreiras
Amazonas,BR-AM,analista de dados,8,2023,carreiras
Bahia,BR-BA,analista de dados,7,2023,carreiras
Ceará,BR-CE,analista de dados,8,2023,carreiras
Distrito Federal,BR-DF,analista de dados,7,2023,carreiras
Espírito Santo,BR-ES,analista de dados,10,2023,carreiras
Goiás,BR-GO,analista de dados,7,2023,carreiras
Maranhão,BR-MA,analista de dados,7,2023,carreiras
Mato Grosso,BR-MT,analista de dados,7,2023,carreiras
Mato Grosso do Sul,BR-MS,analista de dados,6,2023,carreiras
Minas Gerais,BR-MG,analista de dados,7,2023,carreiras
Paraná,BR-PR,analista de dados,6,2023,carreiras
Paraíba,BR-PB,analista de dados,7,2023,carreiras
Pará,BR-PA,analista de dados,7,2023,carreiras
Pernambuco,BR-PE,analista de dados,8,2023,carreiras
Piauí,BR-PI,analista de dados,8,2023,carreiras
Rio Grande do Norte,BR-RN,analista de dados,5,2023,carreiras
Rio Grande do Sul,BR-RS,analista de dados,6,2023,carreiras
Rio de Janeiro,BR-RJ,analista de dados,8,2023,carreiras
Rondônia,BR-RO,analista de dados,6,2023,carreiras
Roraima,BR-RR,analista de dados,0,2023,carreiras
Santa Catarina,BR-SC,analista de dados,6,2023,carreiras
Sergipe,BR-SE,analista de dados,8,2023,carreiras
São Paulo,BR-SP,analista de dados,9,2023,carreiras
Tocantins,BR-TO,analista de dados,4,2023,carreiras
Acre,BR-AC,machine learning,4,2023,carreiras
Alagoas,BR-AL,machine learning,9,2023,carreiras
Amapá,BR-AP,machine learning,6,2023,carreiras
Amazonas,BR-AM,machine learning,13,2023,carreiras
Bahia,BR-BA,machine learning,9,2023,carreiras
Ceará,BR-CE,machine learning,11,2023,carreiras
Distrito Federal,BR-DF,machine learning,15,2023,carreiras
Espírito Santo,BR-ES,machine learning,9,2023,carreiras
Goiás,BR-GO,machine learning,8,2023,carreiras
Maranhão,BR-MA,machine learning,9,2023,carreiras
Mato Grosso,BR-MT,machine learning,7,2023,carreiras
Mato Grosso do Sul,BR-MS,machine learning,8,2023,carreiras
Minas Gerais,BR-MG,machine learning,8,2023,carreiras
Paraná,BR-PR,machine learning,10,2023,carreiras
Paraíba,BR-PB,machine learning,12,2023,carreiras
Pará,BR-PA,machine learning,9,2023,carreiras
Pernambuco,BR-PE,machine learning,13,2023,carreiras
Piauí,BR-PI,machine learning,10,2023,carreiras
Rio Grande do Norte,BR-RN,machine learning,12,2023,carreiras
Rio Grande do Sul,BR-RS,machine learning,10,2023,carreiras
Rio de Janeiro,BR-RJ,machine learning,10,2023,carreiras
Rondônia,BR-RO,machine learning,5,2023,carreiras
Roraima,BR-RR,machine learning,6,2023,carreiras
Santa Catarina,BR-SC,machine learning,9,2023,carreiras
Sergipe,BR-SE,machine learning,10,2023,carreiras
São Paulo,BR-SP,machine learning,12,2023,carreiras
Tocantins,BR-TO,machine learning,7,2023,carreiras
Acre,BR-AC,inteligencia artificial,88,2023,carreiras
Alagoas,BR-AL,inteligencia artificial,78,2023,carreiras
Amapá,BR-AP,inteligencia artificial,88,2023,carreiras
Amazonas,BR-AM,inteligencia artificial,73,2023,carreiras
Bahia,BR-BA,inteligencia artificial,79,2023,carreiras
Ceará,BR-CE,inteligencia artificial,76,2023,carreiras
Distrito Federal,BR-DF,inteligencia artificial,73,2023,carreiras
Espírito Santo,BR-ES,inteligencia artificial,75,2023,carreiras
Goiás,BR-GO,inteligencia artificial,80,2023,carreiras
Maranhão,BR-MA,inteligencia artificial,79,2023,carreiras
Mato Grosso,BR-MT,inteligencia artificial,81,2023,carreiras
Mato Grosso do Sul,BR-MS,inteligencia artificial,80,2023,carreiras
Minas Gerais,BR-MG,inteligencia artificial,79,2023,carreiras
Paraná,BR-PR,inteligencia artificial,79,2023,carreiras
Paraíba,BR-PB,inteligencia artificial,75,2023,carreiras
Pará,BR-PA,inteligencia artificial,78,2023,carreiras
Pernambuco,BR-PE,inteligencia artificial,73,2023,carreiras
Piauí,BR-PI,inteligencia artificial,78,2023,carreiras
Rio Grande do Norte,BR-RN,inteligencia artificial,78,2023,carreiras
Rio Grande do Sul,BR-RS,inteligencia artificial,80,2023,carreiras
Rio de Janeiro,BR-RJ,inteligencia artificial,75,2023,carreiras
Rondônia,BR-RO,inteligencia artificial,83,2023,carreiras
Roraima,BR-RR,inteligencia artificial,94,2023,carreiras
Santa Catarina,BR-SC,inteligencia artificial,81,2023,carreiras
Sergipe,BR-SE,inteligencia artificial,74,2023,carreiras
São Paulo,BR-SP,inteligencia artificial,73,2023,carreiras
